Type,Amount,Category,Description,Date
Income,200.0,self Transfer,,2026-05-27
Income,2000.0,Pocket money,May allowance,2026-05-24
Expense,169.0,Subscriptions,icloud storage,2026-05-24
Expense,59.0,Subscriptions,Apple music,2026-05-24
Income,1690.0,Refund,shoe refund,2026-05-21
Expense,3042.0,Shopping,Savana online shopping,2026-05-16
Income,3500.0,Pocket money,shopping allowance,2026-05-16
Expense,1101.0,Gifting,blinkit,2026-05-07
Expense,99.0,Subscriptions,Spotify,2026-05-07
Expense,70.0,Food and Drinks,coffee,2026-04-30
Expense,29.0,Gifting,game,2026-04-19
Expense,60.0,Food and Drinks,burger,2026-04-16
Expense,460.0,Food and Drinks,bakery,2026-04-13
Expense,500.0,Education,event participation,2026-04-11
Expense,49.0,Bills,google one,2026-03-27
Income,10.0,Interest,sbi,2026-03-25
Expense,1552.0,Education,books for sis,2026-05-14
Income,2700.0,Miscellenous,balance statement,2026-05-29
